instance,outcome,possessing team
408,success,home team
409,success,home team
410,success,home team
411,success,home team
412,success,home team
413,success,home team
414,success,home team
415,success,home team
416,success,home team
417,success,home team
418,success,home team
419,success,home team
420,success,home team
421,success,home team
422,success,home team
423,success,home team
424,success,home team
425,success,home team
426,success,home team
427,success,home team
428,success,home team
429,success,home team
430,success,home team
431,success,home team
432,success,home team
433,success,home team
434,success,home team
435,success,home team
436,success,home team
437,success,home team
438,success,home team
439,success,home team
440,success,home team
441,success,home team
442,success,home team
443,success,home team
444,success,home team
450,success,home team
451,success,home team
452,success,home team
453,success,home team
454,success,home team
455,success,home team
456,success,home team
457,success,home team
458,success,home team
459,success,home team
460,success,home team
470,success,home team
471,success,home team
472,success,home team
473,success,home team
474,success,home team
475,success,home team
476,success,home team
477,success,home team
492,success,home team
493,success,home team
494,success,home team
495,success,home team
496,success,home team
497,success,home team
498,success,home team
499,success,home team
500,success,home team
501,success,home team
502,success,home team
503,success,home team
504,success,home team
505,success,home team
509,success,home team
510,success,home team
511,success,home team
512,success,home team
513,success,home team
514,success,home team
515,success,home team
516,success,home team
517,success,home team
518,success,home team
519,success,home team
535,success,home team
536,success,home team
537,success,home team
538,success,home team
539,success,home team
540,success,home team
541,success,home team
553,success,home team
554,success,home team
555,success,home team
556,success,home team
557,success,home team
558,success,home team
559,success,home team
560,success,home team
562,success,home team
563,success,home team
564,success,home team
565,success,home team
566,success,home team
567,success,home team
568,success,home team
569,success,home team
570,success,home team
571,success,home team
572,success,home team
573,success,home team
577,success,home team
578,success,home team
584,success,away team
585,success,away team
586,success,away team
587,success,away team
588,success,away team
589,success,away team
590,success,away team
591,success,away team
592,success,away team
593,success,away team
594,success,away team
595,success,away team
596,success,away team
597,success,away team
598,success,away team
599,success,away team
600,success,away team
601,success,away team
602,success,away team
603,success,away team
604,success,away team
605,success,away team
606,success,away team
607,success,away team
611,success,away team
612,success,away team
613,success,away team
614,success,away team
615,success,away team
616,success,away team
617,success,away team
618,success,away team
619,success,away team
620,success,away team
621,success,away team
622,success,away team
623,success,away team
624,success,away team
637,success,away team
638,success,away team
639,success,away team
647,success,away team
648,success,away team
649,success,away team
650,success,away team
651,success,away team
652,success,away team
653,success,away team
654,success,away team
655,success,away team
656,success,away team
657,success,away team
658,success,away team
659,success,away team
660,success,away team
661,success,away team
662,success,away team
663,success,away team
664,success,away team
665,success,away team
666,success,away team
667,success,away team
698,success,away team
699,success,away team
700,success,away team
701,success,away team
702,success,away team
703,success,away team
704,success,away team
705,success,away team
706,success,away team
707,success,away team
708,success,away team
709,success,away team
710,success,away team
711,success,away team
712,success,away team
713,success,away team
714,success,away team
715,success,away team
716,success,away team
717,success,away team
718,success,away team
719,success,away team
720,success,away team
721,success,away team
722,success,away team
723,success,away team
724,success,away team
725,success,away team
726,success,away team
727,success,away team
728,success,away team
729,success,away team
730,success,away team
731,success,away team
732,success,away team
733,success,away team
734,success,away team
735,success,away team
736,success,away team
737,success,away team
738,success,away team
739,success,away team
740,success,away team
741,success,away team
742,success,away team
743,success,away team
744,success,away team
745,success,away team
746,success,away team
747,success,away team
748,success,away team
749,success,away team
750,success,away team
751,success,away team
752,success,away team
753,success,away team
754,success,away team
755,success,away team
756,success,away team
757,success,away team
758,success,away team
759,success,away team
760,success,away team
761,success,away team
762,success,away team
763,success,away team
764,success,away team
765,success,away team
766,success,away team
767,success,away team
768,success,away team
769,success,away team
770,success,away team
815,success,home team
816,success,home team
817,success,home team
818,success,home team
819,success,home team
820,success,home team
821,success,home team
822,success,home team
823,success,home team
824,success,home team
825,success,home team
826,success,home team
827,success,home team
828,success,home team
829,success,home team
830,success,home team
893,success,home team
894,success,home team
895,success,home team
902,success,home team
903,success,home team
904,success,home team
905,success,home team
906,success,home team
907,success,home team
908,success,home team
909,success,home team
930,success,home team
931,success,home team
932,success,home team
933,success,home team
934,success,home team
935,success,home team
936,success,home team
937,success,home team
938,success,home team
939,success,home team
940,success,home team
941,success,home team
942,success,home team
943,success,home team
944,success,home team
945,success,home team
946,success,home team
947,success,home team
948,success,home team
949,success,home team
950,success,home team
951,success,home team
952,success,home team
953,success,home team
954,success,home team
955,success,home team
956,success,home team
957,success,home team
958,success,home team
959,success,home team
960,success,home team
962,success,home team
963,success,home team
964,success,home team
965,success,home team
966,success,home team
967,success,home team
968,success,home team
969,success,home team
970,success,home team
971,success,home team
972,success,home team
973,success,home team
974,success,home team
999,success,home team
1000,success,home team
1001,success,home team
1002,success,home team
1003,success,home team
1004,success,home team
1005,success,home team
1006,success,home team
1007,success,home team
1008,success,home team
1009,success,home team
1039,success,home team
1040,success,home team
1041,success,home team
1042,success,home team
1043,success,home team
1044,success,home team
1045,success,home team
1046,success,home team
1047,success,home team
1048,success,home team
1049,success,home team
1084,success,home team
1085,success,home team
1086,success,home team
1087,success,home team
1088,success,home team
1089,success,home team
1090,success,home team
1091,success,home team
1092,success,home team
1093,success,home team
1094,success,home team
1095,success,home team
1096,success,home team
1097,success,home team
1098,success,home team
1099,success,home team
1100,success,home team
1101,success,home team
1102,success,home team
1103,success,home team
1104,success,home team
1105,success,home team
1106,success,home team
1107,success,home team
1108,success,home team
1109,success,home team
1110,success,home team
1111,success,home team
1127,success,home team
1128,success,home team
1129,success,home team
1130,success,home team
1131,success,home team
1132,success,home team
1133,success,home team
1134,success,home team
1135,success,home team
1136,success,home team
1137,success,home team
1138,success,home team
1150,success,home team
1151,success,home team
1152,success,home team
1153,success,home team
1154,success,home team
1155,success,home team
1156,success,home team
1157,success,home team
1158,success,home team
1159,success,home team
1160,success,home team
1161,success,home team
1162,success,home team
1163,success,home team
1164,success,home team
1165,success,home team
1166,success,home team
1167,success,home team
1168,success,home team
1169,success,home team
1170,success,home team
1171,success,home team
1172,success,home team
1173,success,home team
1174,success,home team
1175,success,home team
1176,success,home team
1177,success,home team
1178,success,home team
1179,success,home team
1180,success,home team
1181,success,home team
1182,success,home team
1183,success,home team
1190,success,home team
1191,success,home team
1192,success,home team
1193,success,home team
1194,success,home team
1195,success,home team
1196,success,home team
1197,success,home team
1198,success,home team
1199,success,home team
1200,success,home team
1201,success,home team
1202,success,home team
1203,success,home team
1204,success,home team
1205,success,home team
1206,success,home team
1207,success,home team
1208,success,home team
1209,success,home team
1210,success,home team
1211,success,home team
1212,success,home team
1213,success,home team
1214,success,home team
1215,success,home team
1216,success,home team
1217,success,home team
1218,success,home team
1219,success,home team
1220,success,home team
1221,success,home team
1222,success,home team
1223,success,home team
1224,success,home team
1225,success,home team
1226,success,home team
1227,success,home team
1228,success,home team
1229,success,home team
1230,success,home team
1231,success,home team
1232,success,home team
1233,success,home team
1234,success,home team
1235,success,home team
1236,success,home team
1237,success,home team
1238,success,home team
1239,success,home team
1240,success,home team
1241,success,home team
1242,success,home team
1243,success,home team
1244,success,home team
1245,success,home team
1246,success,home team
1247,success,home team
1248,success,home team
1249,success,home team
1250,success,home team
1251,success,home team
1252,success,home team
1253,success,home team
1254,success,home team
1255,success,home team
1256,success,home team
1257,success,home team
1258,success,home team
1259,success,home team
1260,success,home team
1261,success,home team
1262,success,home team
1263,success,home team
1264,success,home team
1265,success,home team
1266,success,home team
1267,success,home team
1268,success,home team
1269,success,home team
1270,success,home team
1271,success,home team
1272,success,home team
1273,success,home team
1274,success,home team
1275,success,home team
1276,success,home team
1277,success,home team
1278,success,home team
1279,success,home team
1280,success,home team
1281,success,home team
1282,success,home team
1283,success,home team
1284,success,home team
1285,success,home team
1286,success,home team
1287,success,home team
1288,success,home team
1289,success,home team
1290,success,home team
1292,success,away team
1293,success,away team
1294,success,away team
1295,success,away team
1296,success,away team
1297,success,away team
1298,success,away team
1299,success,away team
1300,success,away team
1301,success,away team
1302,success,away team
1303,success,away team
1304,success,away team
1305,success,away team
1306,success,away team
1307,success,away team
1308,success,away team
1309,success,away team
1310,success,away team
1311,success,away team
1325,success,home team
1326,success,home team
1327,success,home team
1328,success,home team
1329,success,home team
1330,success,home team
1331,success,home team
1337,success,away team
1338,success,away team
1339,success,away team
1340,success,away team
1341,success,away team
1342,success,away team
1343,success,away team
1344,success,away team
1345,success,away team
1346,success,away team
1347,success,away team
1348,success,away team
1349,success,away team
1350,success,away team
1351,success,away team
1352,success,away team
1353,success,away team
1354,success,away team
1355,success,away team
1356,success,away team
1357,success,away team
1358,success,away team
1359,success,away team
1360,success,away team
1361,success,away team
1362,success,away team
1363,success,away team
1364,success,away team
1365,success,away team
1366,success,away team
1367,success,away team
1368,success,away team
1369,success,away team
1370,success,away team
1665,failed,
1666,failed,
1667,failed,
1668,failed,
1669,failed,
1670,success,away team
1671,success,away team
1672,success,away team
1673,success,away team
1674,success,away team
1675,success,away team
1676,success,away team
1677,success,away team
1678,success,away team
1679,success,away team
1680,success,away team
1681,success,away team
1682,success,away team
1683,success,away team
1684,success,away team
1685,success,away team
1686,success,away team
1687,success,away team
1688,success,away team
1689,success,away team
1690,success,away team
1691,success,away team
1692,success,away team
1693,success,away team
1694,success,away team
1695,success,away team
1696,success,away team
1697,success,away team
1698,success,away team
1699,success,away team
1700,success,away team
1701,success,away team
1702,success,away team
1703,success,away team
1704,success,away team
1705,success,away team
1706,success,away team
1707,success,away team
1708,success,away team
1709,success,away team
1720,failed,
1742,failed,
1743,failed,
1744,failed,
1745,failed,
1746,failed,
1747,failed,
1748,failed,
1749,failed,
1750,failed,
1751,failed,
1752,failed,
1753,failed,
1754,failed,
1755,failed,
1913,failed,
1914,failed,
1915,failed,
1916,failed,
1917,failed,
1918,success,away team
1919,success,away team
1920,success,away team
1933,success,away team
1934,success,away team
1935,success,away team
1936,success,away team
1937,success,away team
1938,success,away team
1939,success,away team
1940,success,away team
1941,success,away team
1945,success,away team
1946,success,away team
1947,success,away team
1948,success,away team
1949,success,away team
1950,success,away team
1951,success,away team
1952,success,away team
1953,success,away team
1954,success,away team
1955,success,away team
1956,success,away team
1959,success,away team
1960,success,away team
1961,success,away team
1962,success,away team
1963,success,away team
1964,success,away team
1965,success,away team
1966,success,away team
1967,success,away team
1968,success,away team
1969,success,away team
1970,success,away team
1971,success,away team
1972,success,away team
1973,success,away team
1974,success,away team
1975,success,away team
1976,success,away team
1977,success,away team
1978,success,away team
1979,success,away team
2006,success,away team
2007,success,away team
2008,success,away team
2009,success,away team
2010,success,away team
2011,success,away team
2012,success,away team
2013,success,away team
2014,success,away team
2015,success,away team
2026,success,away team
2027,success,away team
2028,success,away team
2029,success,away team
2030,success,away team
2031,success,away team
2032,success,away team
2033,success,away team
2034,success,away team
2035,success,away team
2036,success,away team
2037,success,away team
2038,success,away team
2039,success,away team
2040,success,away team
2041,success,away team
2042,success,away team
2043,success,away team
2044,success,away team
2045,success,away team
2071,success,away team
2072,success,away team
2073,success,away team
2074,success,away team
2075,success,away team
2076,success,away team
2077,success,away team
2078,success,away team
2079,success,away team
2080,success,away team
2081,success,away team
2082,success,away team
2083,success,away team
2084,success,away team
2085,success,away team
2086,success,away team
2087,success,away team
2088,success,away team
2089,success,away team
2090,success,away team
2091,success,away team
2092,success,away team
2093,success,away team
2094,success,away team
2095,success,away team
2096,success,away team
2097,success,away team
2098,success,away team
2099,success,away team
2112,success,away team
2113,success,away team
2114,success,away team
2115,success,away team
2116,success,away team
2117,success,away team
2118,success,away team
2119,success,away team
2137,success,away team
2138,success,away team
2139,success,away team
2140,success,away team
2141,success,away team
2142,success,away team
2143,success,away team
2144,success,away team
2145,success,away team
2146,success,away team
2147,success,away team
2148,success,away team
2149,success,away team
2150,success,away team
2151,success,away team
2152,success,away team
2153,success,away team
2154,success,away team
2155,success,away team
2156,success,away team
2157,success,away team
2158,success,away team
2159,success,away team
2160,success,away team
2161,success,away team
2162,success,away team
2163,success,away team
2164,success,away team
2165,success,away team
2166,success,away team
2167,success,away team
2168,success,away team
2169,success,away team
2170,success,away team
2171,success,away team
2172,success,away team
2173,success,away team
2174,success,away team
2175,success,away team
2176,success,away team
2177,success,away team
2178,success,away team
2179,success,away team
2180,success,away team
2181,success,away team
2185,success,away team
2186,success,away team
2187,success,away team
2188,success,away team
2189,success,away team
2190,success,away team
2191,success,away team
2192,success,away team
2193,success,away team
2194,success,away team
2195,success,away team
2196,success,away team
2197,success,away team
2198,success,away team
2199,success,away team
2200,success,away team
2201,success,away team
2202,success,away team
2203,success,away team
2204,success,away team
2205,success,away team
2206,success,away team
2210,success,away team
2211,success,away team
2212,success,away team
2213,success,away team
2214,success,away team
2215,success,away team
2216,success,away team
2217,success,away team
2218,success,away team
2219,success,away team
2220,success,away team
2221,success,away team
2222,success,away team
2223,success,away team
2224,success,away team
2225,success,away team
2226,success,away team
2227,success,away team
2228,success,away team
2229,success,away team
2230,success,away team
2231,success,away team
2252,success,away team
2253,success,away team
2254,success,away team
2255,success,away team
2256,success,away team
2257,success,away team
2258,success,away team
2259,success,away team
2260,success,away team
2261,success,away team
2262,success,away team
2263,success,away team
2264,success,away team
2265,success,away team
2266,success,away team
2267,success,away team
2268,success,away team
2269,success,away team
2270,success,away team
2271,success,away team
2272,success,away team
2273,success,away team
2274,success,away team
2277,success,away team
2278,success,away team
2279,success,away team
2280,success,away team
2281,success,away team
2282,success,away team
2283,success,away team
2284,success,away team
2285,success,away team
2286,success,away team
2287,success,away team
2288,success,away team
2289,success,away team
2290,success,away team
2291,success,away team
2292,success,away team
2293,success,away team
2294,success,away team
2295,success,away team
2296,success,away team
2297,success,away team
2298,success,away team
2299,success,away team
2300,success,away team
2301,success,away team
2302,success,away team
2303,success,away team
2304,success,away team
2305,success,away team
2306,success,away team
2307,success,away team
2308,success,away team
2309,success,away team
2310,success,away team
2311,success,away team
2312,success,away team
2313,success,away team
2314,success,away team
2315,success,away team
2316,success,away team
2317,success,away team
2318,success,away team
2319,success,away team
2320,success,away team
2321,success,away team
2322,success,away team
2323,success,away team
2324,success,away team
2325,success,away team
2326,success,away team
2327,success,away team
2328,success,away team
2329,success,away team
2330,success,away team
2340,success,home team
2341,success,home team
2342,success,home team
2343,success,home team
2344,success,home team
2345,success,home team
2346,success,home team
2347,success,home team
2348,success,home team
2349,success,home team
2350,success,home team
2351,success,home team
2352,success,home team
2353,success,home team
2354,success,home team
2355,success,home team
2356,success,home team
2357,success,home team
2358,success,home team
2359,success,home team
2360,success,home team
2361,success,home team
2362,success,home team
2363,success,home team
2364,success,home team
2365,success,home team
2366,success,home team
2367,success,home team
2368,success,home team
2369,success,home team
2370,success,home team
2371,success,home team
2372,success,home team
2373,success,home team
2374,success,home team
2375,success,home team
2376,success,home team
2377,success,home team
2378,success,home team
2379,success,home team
2380,success,home team
2381,success,home team
2382,success,home team
2383,success,home team
2384,success,home team
2385,success,home team
2386,success,home team
2387,success,home team
2388,success,home team
2389,success,home team
2390,success,home team
2391,success,home team
2392,success,home team
2393,success,home team
2394,success,home team
2395,success,home team
2396,success,home team
2404,success,home team
2405,success,home team
2406,success,home team
2407,success,home team
2408,success,home team
2409,success,home team
2410,success,home team
2411,success,home team
2412,success,home team
2413,success,home team
2414,success,home team
2415,success,home team
2429,success,away team
2430,success,away team
2431,success,away team
2432,success,away team
2433,success,away team
2434,success,away team
2435,success,away team
2436,success,away team
2437,success,away team
2438,success,away team
2439,success,away team
2440,success,away team
2441,success,away team
2442,success,away team
2443,success,away team
2444,success,away team
2445,success,away team
2446,success,away team
2447,success,away team
2448,success,away team
2449,success,away team
2450,success,away team
2451,success,away team
2452,success,away team
2453,success,away team
2454,success,away team
2455,success,away team
2456,success,away team
2457,success,away team
2458,success,away team
2459,success,away team
2460,success,away team
2461,success,away team
2462,success,away team
2463,success,away team
2464,success,away team
2465,success,away team
2466,success,away team
2467,success,away team
2468,success,away team
2469,success,away team
2470,success,away team
2471,success,away team
2472,success,away team
2473,success,away team
2474,success,away team
2475,success,away team
2476,success,away team
2477,success,away team
2478,success,away team
2479,success,away team
2480,success,away team
2481,success,away team
2482,success,away team
2483,success,away team
2484,success,away team
2485,success,away team
2486,success,away team
2487,success,away team
2488,success,away team
2489,success,away team
2490,success,away team
2491,success,away team
2492,success,away team
2538,success,home team
2539,success,home team
2540,success,home team
2541,success,home team
2542,success,home team
2543,success,home team
2544,success,home team
2545,success,home team
2546,success,home team
2547,success,home team
2548,success,home team
2569,success,home team
2570,success,home team
2571,success,home team
2572,success,home team
2573,success,home team
2574,success,home team
2575,success,home team
2576,success,home team
2577,success,home team
2578,success,home team
2579,success,home team
2580,success,home team
2581,success,home team
2582,success,home team
2583,success,home team
2584,success,home team
2585,success,home team
2586,success,home team
2587,success,home team
2588,success,home team
2589,success,home team
2590,success,home team
2591,success,home team
2592,success,home team
2593,success,home team
2594,success,home team
2595,success,home team
2596,success,home team
2597,success,home team
2598,success,home team
2599,success,home team
2600,success,home team
2601,success,home team
2602,success,home team
2603,success,home team
2604,success,home team
2605,success,home team
2606,success,home team
2607,success,home team
2608,success,home team
2609,success,home team
2610,success,home team
2611,success,home team
2612,success,home team
2613,success,home team
2614,success,home team
2615,success,home team
2616,success,home team
2617,success,home team
2618,success,home team
2619,success,home team
2620,success,home team
2621,success,home team
2622,success,home team
2623,success,home team
2624,success,home team
2625,success,home team
2626,success,home team
2627,success,home team
2628,success,home team
2629,success,home team
2630,success,home team
2631,success,home team
2632,success,home team
2633,success,home team
2634,success,home team
2635,success,home team
2636,success,home team
2637,success,home team
2638,success,home team
2639,success,home team
2640,success,home team
2641,success,home team
2642,success,home team
2643,success,home team
2644,success,home team
2645,success,home team
2646,success,home team
2647,success,home team
2648,success,home team
2649,success,home team
2650,success,home team
2651,success,home team
2652,success,home team
2653,success,home team
2654,success,home team
2655,success,home team
2656,success,home team
2657,success,home team
2658,success,home team
2659,success,home team
2660,success,home team
2661,success,home team
2662,success,home team
2663,success,home team
2664,success,home team
2665,success,home team
2666,success,home team
2667,success,home team
2668,success,home team
2669,success,home team
2670,success,home team
2671,success,home team
2672,success,home team
2673,success,home team
2674,success,home team
2675,success,home team
2676,success,home team
2677,success,home team
2678,success,home team
2679,success,home team
2680,success,home team
2681,success,home team
2682,success,home team
2683,success,home team
2684,success,home team
2685,success,home team
2686,success,home team
2687,success,home team
2688,success,home team
2689,success,home team
2690,success,home team
2691,success,home team
2692,success,home team
2693,success,home team
2694,success,home team
2695,success,home team
2696,success,home team
2697,success,home team
2698,success,home team
2699,success,home team
2700,success,home team
2701,success,home team
2702,success,home team
2703,success,home team
2704,success,home team
2705,success,home team
2706,success,home team
2707,success,home team
2708,success,home team
2709,success,home team
2710,success,home team
2711,success,home team
2712,success,home team
2713,success,home team
2714,success,home team
2715,success,home team
2716,success,home team
2717,success,home team
2718,success,home team
2719,success,home team
2720,success,home team
2721,success,home team
2722,success,home team
2723,success,home team
2724,success,home team
2725,success,home team
2726,success,home team
2727,success,home team
2728,success,home team
2729,success,home team
2730,success,home team
2731,success,home team
2732,success,home team
2733,success,home team
2734,success,home team
2735,success,home team
2736,success,home team
2737,success,home team
2738,success,home team
2739,success,home team
2740,success,home team
2741,success,home team
2742,success,home team
2743,success,home team
2744,success,home team
2745,success,home team
2746,success,home team
2747,success,home team
2748,success,home team
2749,success,home team
2750,success,home team
2764,success,home team
2765,success,home team
2766,success,home team
2767,success,home team
2768,success,home team
2769,success,home team
2770,success,home team
2771,success,home team
2772,success,home team
2773,success,home team
2774,success,home team
2775,success,home team
2776,success,home team
2777,success,home team
2778,success,home team
2779,success,home team
2780,success,home team
2781,success,home team
2782,success,home team
2783,success,home team
2784,success,home team
2785,success,home team
2786,success,home team
2820,success,home team
2821,success,home team
2822,success,home team
2823,success,home team
2824,success,home team
2825,success,home team
2826,success,home team
2827,success,home team
2828,success,home team
2829,success,home team
2830,success,home team
2831,success,home team
2832,success,home team
2833,success,home team
2834,success,home team
2835,success,home team
2836,success,home team
2837,success,home team
2838,success,home team
2839,success,home team
2840,success,home team
2841,success,home team
2842,success,home team
2843,success,home team
2844,success,home team
2845,success,home team
2846,success,home team
2849,success,home team
2850,success,home team
2851,success,home team
2852,success,home team
2853,success,home team
2854,success,home team
2855,success,home team
2856,success,home team
2857,success,home team
2858,success,home team
2859,success,home team
2860,success,home team
2862,success,away team
2863,success,away team
2864,success,away team
2865,success,away team
2866,success,away team
2867,success,away team
2868,success,away team
2869,success,away team
2870,success,away team
2871,success,away team
2884,success,home team
2885,success,home team
2886,success,home team
2887,success,home team
2888,success,home team
2889,success,home team
2890,success,home team
2900,success,home team
2901,success,home team
2902,success,home team
2903,success,home team
2904,success,home team
2905,success,home team
2906,success,home team
2907,success,home team
2908,failed,
2909,failed,
2910,failed,
2911,failed,
2912,failed,
2913,failed,
2914,failed,
2915,failed,
2916,failed,
2917,failed,
2918,failed,
2919,failed,
2920,failed,
2921,failed,
2922,failed,
2923,failed,
2924,failed,
2925,failed,
3017,failed,
3018,failed,
3019,failed,
3020,failed,
3021,failed,
3022,failed,
3023,failed,
3024,failed,
3025,failed,
3026,failed,
3027,failed,
3028,failed,
3029,failed,
3030,failed,
3031,failed,
3032,failed,
3033,failed,
3034,failed,
3035,failed,
3036,failed,
3037,failed,
3038,failed,
3039,failed,
3040,failed,
3050,success,away team
3051,success,away team
3052,success,away team
3053,success,away team
3054,success,away team
3055,success,away team
3056,success,away team
3057,success,away team
3058,success,away team
3059,success,away team
3060,success,away team
3061,success,away team
3062,success,away team
3063,success,away team
3064,success,away team
3065,success,away team
3066,success,away team
3067,success,away team
3068,success,away team
3069,success,away team
3070,success,away team
3071,success,away team
3102,success,away team
3103,success,away team
3104,success,away team
3105,success,away team
3106,success,away team
3107,success,away team
3108,success,away team
3109,success,away team
3110,success,away team
3111,success,away team
3112,success,away team
3113,success,away team
3114,success,away team
3121,success,away team
3122,success,away team
3123,success,away team
3124,success,away team
3125,success,away team
3126,success,away team
3127,success,away team
3128,success,away team
3129,success,away team
3130,success,away team
3131,success,away team
3132,success,away team
3133,success,away team
3134,success,away team
3144,success,away team
3145,success,away team
3146,success,away team
3147,success,away team
3148,success,away team
3149,success,away team
3150,success,away team
3151,success,away team
3152,success,away team
3153,success,away team
3154,success,away team
3155,success,away team
3156,success,away team
3157,success,away team
3158,success,away team
3159,success,away team
3160,success,away team
3161,success,away team
3162,success,away team
3163,success,away team
3164,success,away team
3165,success,away team
3166,success,away team
3167,success,away team
3168,success,away team
3169,success,away team
3170,success,away team
3171,success,away team
3172,success,away team
3173,success,away team
3174,failed,
3175,failed,
3176,failed,
3177,failed,
3178,failed,
3179,failed,
3180,failed,
3181,failed,
3182,failed,
3183,failed,
3184,failed,
3185,failed,
3186,failed,
3187,failed,
3188,failed,
3189,failed,
3190,failed,
3191,failed,
3192,failed,
3193,failed,
3194,failed,
3195,failed,
3196,failed,
3197,failed,
3198,failed,
3199,failed,
3200,failed,
3201,failed,
3202,failed,
3203,failed,
3204,failed,
3205,failed,
3206,failed,
3207,failed,
3208,failed,
3209,failed,
3351,failed,
3352,failed,
3353,failed,
3354,failed,
3355,failed,
3356,success,away team
3357,success,away team
3358,success,away team
3359,success,away team
3360,success,away team
3405,success,home team
3406,success,home team
3420,success,home team
3421,success,home team
3422,success,home team
3423,success,home team
3424,success,home team
3425,success,home team
3426,success,home team
3427,success,home team
3428,success,home team
3429,success,home team
3430,success,home team
3431,success,home team
3432,success,home team
3433,success,home team
3434,success,home team
3435,success,home team
3436,success,home team
3437,success,home team
3454,success,home team
3455,success,home team
3456,success,home team
3457,success,home team
3458,success,home team
3459,success,home team
3460,success,home team
3461,success,home team
3462,success,home team
3463,success,home team
3464,success,home team
3465,success,home team
3466,success,home team
3467,success,home team
3468,success,home team
3469,success,home team
3470,success,home team
3471,success,home team
3472,success,home team
3473,success,home team
3474,success,home team
3475,success,home team
3476,success,home team
3477,success,home team
3478,success,home team
3479,success,home team
3480,success,home team
3481,success,home team
3482,success,home team
3483,success,home team
3484,success,home team
3485,success,home team
3486,success,home team
3487,success,home team
3488,success,home team
3489,success,home team
3490,success,home team
3491,success,home team
3492,success,home team
3493,success,home team
3494,success,home team
3495,success,home team
3496,success,home team
3497,success,home team
3498,success,home team
3499,success,home team
3500,success,home team
3501,success,home team
3502,success,home team
3503,success,home team
3504,success,home team
3505,success,home team
3506,success,home team
3507,success,home team
3508,success,home team
3509,success,home team
3510,success,home team
3511,success,home team
3512,success,home team
3513,success,home team
3517,success,home team
3518,success,home team
3519,success,home team
3520,success,home team
3521,success,home team
3522,success,home team
3523,success,home team
3524,success,home team
3525,success,home team
3526,success,home team
3554,success,home team
3555,success,home team
3556,success,home team
3557,success,home team
3558,success,home team
3559,success,home team
3560,success,home team
3561,success,home team
3562,success,home team
3563,success,home team
3564,success,home team
3565,success,home team
3566,success,home team
3567,success,home team
3568,success,home team
3569,success,home team
3570,success,home team
3571,success,home team
3572,success,home team
3573,success,home team
3574,success,home team
3575,success,home team
3576,success,home team
3577,success,home team
3578,success,home team
3579,success,home team
3580,success,home team
3581,success,home team
3582,success,home team
3583,success,home team
3584,success,home team
3585,success,home team
3586,success,home team
3587,success,home team
3588,success,home team
